Year,Birth Rate,Mortality Rate,Divorces,
2021,8.823186615404571,14.406263697244615,0.0,
2022,13.619350424081361,9.173368372381693,1.530012825193548,
2023,10.669428704121657,14.396727818752797,1.4286530367420385,
2024,10.79156681844663,6.7183422692521875,0.0,
2025,8.365927783074193,5.120272015838562,1.302538401767143,
2026,11.020484465793846,11.05684312144666,0.5995203836930455,
2027,8.800874960289493,13.500491271508029,2.3541498624591717,
2028,11.274609809993219,7.843964120149368,1.7095412250040014,
2029,3.7661134321076526,10.252294227072968,1.076159180069196,
2030,7.272829010148611,10.839697868600087,1.0375051660008268,
2031,7.430970210466466,8.940303046718505,1.9698387324566602,
2032,8.535734601530923,12.357867907866774,1.418354251230733,
2033,11.897028656892848,7.782956807909217,0.0,
2034,6.610309170407858,9.754206296038996,1.3246042692409434,
2035,6.3859896192999255,5.106323416212693,2.1374289563729283,
2036,6.992199219292666,10.699639772419895,1.2330738029355532,
2037,9.957133115939065,9.55796947387091,0.40160642570281124,
2038,4.998729910499552,8.481317683293906,1.535544272403271,
2039,7.473438066984185,13.134770062080895,0.7443699920548823,
2040,3.2766847886194617,9.443630460736852,1.0919076606447506,
