2025_01_22_T17:54:06 -  finished initateHouses in 0.0342259407043457 seconds
2025_01_22_T17:54:07 -  finished initiateHouseholds in 0.2222449779510498 seconds
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
2025_01_22_T17:54:07 -  All houses for rental were assigned in Oeiras
