-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,8.647072334794773,9.322646022260273,9.56245086141644,7.280965049406364,8.318656067857303,8.16892598980436,11.357835460053906,9.252917665544734,9.128029846922644,7.877451733918008,11.294004954069706,5.658461118743691,7.483658087459842,9.180163749355902,7.418297250283958,5.912333235540873,5.091296404948615,11.28383750750456,4.718762824675391,4.72426324789102,9.263428488874599,9.051691178592913,7.2728292468706,4.615018355886267,0,0,0,9.131430694574743,9.187473910651335,9.096815865512996,9.184565454150864,8.980504668504677,5.127921346785911,5.039495954956311,0,0,9.240392558654602,0,0,0,
Cascais,10.403362515715102,10.272887481374086,11.93119440777688,10.648848263026618,10.854814697980796,8.334884787759057,9.295062333018233,8.248667041419335,9.013195677548758,7.893404287815555,7.028157700761015,9.33080497098286,7.178800329178423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lisboa,9.531493428696876,8.189551168428748,8.386315316239317,10.208282655247928,9.080991994265798,9.311512764737746,8.269104830314978,8.334994125372363,7.909969831662004,8.921984052116077,7.358456558685727,8.033658414486187,8.213198394979077,7.681706215627721,7.540765202158616,7.278243705067225,6.97894277728453,7.119194524133819,6.03863091269713,6.061079995807432,5.811277659711699,5.897857986819454,5.517442075143586,5.642158685589177,5.189675784457799,5.73682458276672,5.207925351762581,4.855052304399883,5.027593095443879,4.458811610644154,4.6757188350937,4.408279231915562,4.531675369927687,3.6160165002157427,3.6788262636905302,4.004702754491017,4.005104733095852,3.3003600529393453,3.772676835867612,3.33588095856454,
Loures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mafra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Odivelas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sintra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VilaFrancaDeXira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alcochete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Almada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barreiro,5.4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.208489162795205,5.643717703492488,0,0,0,0,0,0,0,
Moita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.159828965734875,6.145320381781553,0,0,0,0,0,7.68567128268927,4.631547779072648,0,0,0,9.604125049848767,
Montijo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Palmela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seixal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Setubal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
