Year,Birth Rate,Mortality Rate,Divorces,
2021,9.085450565863537,12.782117044972427,1.317356992436987,
2022,9.98478932846788,13.123889581004859,0.9552385659072642,
2023,9.482140373825128,13.027453839098023,1.0435941394355788,
2024,9.279813063740615,12.374516094853561,0.7602915279387806,
2025,8.66463582549024,13.720484106317045,1.1077231147085185,
2026,8.482494030197126,13.962249396301832,0.847388588787979,
2027,9.114957413906048,13.398936698804096,0.9835005934784721,
2028,8.381455265277198,14.168064250635828,0.8893200952542305,
2029,8.984349443808997,14.153220113531669,0.8854400293873183,
2030,8.397998887532037,13.841249671040917,0.6219537686279021,
2031,9.07123984037335,14.073123669311597,0.8001345579718419,
2032,8.200697918654367,14.941206377094826,0.6774499742255461,
2033,8.250480962681067,14.115411591654766,0.7710389508742144,
2034,7.892647632473595,14.434654756170975,0.951043293712985,
2035,8.576560047190004,13.722201208675871,0.897224167298819,
2036,7.76930412821099,13.85089789757141,0.8504613654847166,
