-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,9.353632902976717,7.997310394915395,7.979826365591398,9.131423756242782,8.034710358816403,10.384171705279282,7.142062519333878,7.383226330516951,7.942639531343124,0,10.920989480629407,8.942496440942609,5.679702460397692,0,0,0,0,0,0,0,0,0,0,0,0,0,5.775475983958064,0,0,5.786288148163657,0,0,0,0,0,0,5.722369194127812,0,5.869075399424421,0,
Cascais,10.47575204613274,8.137062216882342,8.068120594157916,7.178668418440244,13.273880021789815,11.630663697110215,13.397617731824289,11.685927129813145,0,11.955970766298668,0,12.272176984973884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lisboa,14.53576,6.635514841024763,7.441594222222222,6.613126033799533,7.861727816533333,7.852644676266666,11.994165219860902,8.176958570789314,7.93844479402769,9.505336213703337,6.57593631942181,8.205567945756975,7.212284095016244,8.2364745373395,8.639445741318431,7.789764305872513,5.911374264272923,6.562425669358725,4.9302718556658816,6.4482084396809904,4.879584889677243,6.302485881528738,6.92818211965621,4.9317393194592025,7.139189051367603,6.238159238586249,5.8440400962255605,4.421752713274261,4.477995433828796,4.798731878782019,4.104425263048695,4.615331648242759,4.244545320317321,6.112754888448432,5.541277780025265,4.149904034229719,0,0,0,0,
Loures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mafra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Odivelas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sintra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
VilaFrancaDeXira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alcochete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Almada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barreiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.830999913640562,0,0,0,4.90688736548015,0,0,0,10.43223964847348,0,0,0,6.21478424553295,0,
Moita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.327617426323473,4.683908596428699,0,0,6.767628521559159,0,0,9.16027212645412,0,0,0,0,9.522354968478954,9.907140857705446,0,5.058672632654824,
Montijo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Palmela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Seixal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sesimbra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Setubal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
